Sesión;Usuario;Fecha y hora;Tiempo desde inicio (s);Velocidad (km/h);Potencia (W);Cadencia (rpm);Pulso (bpm);Pendiente (%);Marcha virtual;Relación;Elevación (m);Latitud;Longitud;Distancia (km)
22;DR;2026-09-03T09:09:02.749Z;29.5;0.61;0;0;97;-2.54;12;2.05;68.6;43.317814;-1.929720;0.000
22;DR;2026-09-03T09:09:03.919Z;30.7;0.61;0;0;97;-2.54;12;2.05;68.6;43.317814;-1.929720;0.000
22;DR;2026-09-03T09:09:04.777Z;31.5;0.61;0;0;97;-2.54;12;2.05;68.0;43.317968;-1.929519;0.000
22;DR;2026-09-03T09:09:05.760Z;32.5;0.61;0;0;97;-2.54;12;2.05;68.0;43.317968;-1.929519;0.000
22;DR;2026-09-03T09:09:06.756Z;33.5;0.61;0;0;97;-2.54;12;2.05;68.0;43.317968;-1.929519;0.001
22;DR;2026-09-03T09:09:07.762Z;34.5;0.61;0;0;78;-2.54;12;2.05;68.0;43.317968;-1.929519;0.001
22;DR;2026-09-03T09:09:08.840Z;35.6;0.61;0;0;83;-2.54;12;2.05;68.0;43.317968;-1.929519;0.001
22;DR;2026-09-03T09:09:09.748Z;36.5;0.61;0;0;83;-2.54;12;2.05;68.0;43.317968;-1.929519;0.001
22;DR;2026-09-03T09:09:10.748Z;37.5;0.61;0;0;82;-2.54;12;2.05;68.0;43.317968;-1.929519;0.001
22;DR;2026-09-03T09:09:11.744Z;38.5;0.61;0;0;83;-2.54;12;2.05;68.0;43.317968;-1.929519;0.001
22;DR;2026-09-03T09:09:12.879Z;39.6;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.002
22;DR;2026-09-03T09:09:13.745Z;40.5;0.61;0;0;85;-2.54;12;2.05;68.0;43.317968;-1.929519;0.002
22;DR;2026-09-03T09:09:14.910Z;41.7;0.61;0;0;85;-2.54;12;2.05;68.0;43.317968;-1.929519;0.002
22;DR;2026-09-03T09:09:15.752Z;42.5;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.002
22;DR;2026-09-03T09:09:16.801Z;43.6;0.61;0;0;87;-2.54;12;2.05;68.0;43.317968;-1.929519;0.002
22;DR;2026-09-03T09:09:17.748Z;44.5;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.002
22;DR;2026-09-03T09:09:18.764Z;45.5;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.003
22;DR;2026-09-03T09:09:19.828Z;46.6;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.003
22;DR;2026-09-03T09:09:20.745Z;47.5;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.003
22;DR;2026-09-03T09:09:21.750Z;48.5;0.61;0;0;87;-2.54;12;2.05;68.0;43.317968;-1.929519;0.003
22;DR;2026-09-03T09:09:22.804Z;49.6;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.003
22;DR;2026-09-03T09:09:23.751Z;50.5;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.003
22;DR;2026-09-03T09:09:24.747Z;51.5;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.004
22;DR;2026-09-03T09:09:25.853Z;52.6;0.61;0;0;89;-2.54;12;2.05;68.0;43.317968;-1.929519;0.004
22;DR;2026-09-03T09:09:26.753Z;53.5;0.61;0;0;89;-2.54;12;2.05;68.0;43.317968;-1.929519;0.004
22;DR;2026-09-03T09:09:27.754Z;54.5;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.004
22;DR;2026-09-03T09:09:28.848Z;55.6;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.004
22;DR;2026-09-03T09:09:29.755Z;56.5;0.61;0;0;89;-2.54;12;2.05;68.0;43.317968;-1.929519;0.004
22;DR;2026-09-03T09:09:30.751Z;57.5;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.005
22;DR;2026-09-03T09:09:31.757Z;58.5;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.005
22;DR;2026-09-03T09:09:32.781Z;59.5;0.61;0;0;90;-2.54;12;2.05;68.0;43.317968;-1.929519;0.005
22;DR;2026-09-03T09:09:33.757Z;60.5;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.005
22;DR;2026-09-03T09:09:34.763Z;61.5;0.61;0;0;89;-2.54;12;2.05;68.0;43.317968;-1.929519;0.005
22;DR;2026-09-03T09:09:35.809Z;62.6;0.61;0;0;89;-2.54;12;2.05;68.0;43.317968;-1.929519;0.006
22;DR;2026-09-03T09:09:36.750Z;63.5;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.006
22;DR;2026-09-03T09:09:37.750Z;64.5;0.61;0;0;89;-2.54;12;2.05;68.0;43.317968;-1.929519;0.006
22;DR;2026-09-03T09:09:38.805Z;65.6;0.61;0;0;88;-2.54;12;2.05;68.0;43.317968;-1.929519;0.006
22;DR;2026-09-03T09:09:39.774Z;66.5;0.61;0;0;90;-2.54;12;2.05;68.0;43.317968;-1.929519;0.006
22;DR;2026-09-03T09:09:40.746Z;67.5;0.61;0;0;90;-2.54;12;2.05;68.0;43.317968;-1.929519;0.006
22;DR;2026-09-03T09:09:41.853Z;68.6;0.61;0;0;90;-2.54;12;2.05;68.0;43.317968;-1.929519;0.007
22;DR;2026-09-03T09:09:42.748Z;69.5;0.61;0;0;89;-2.54;12;2.05;68.0;43.317968;-1.929519;0.007
22;DR;2026-09-03T09:09:43.783Z;70.5;0.61;0;0;85;-2.54;12;2.05;68.0;43.317968;-1.929519;0.007
22;DR;2026-09-03T09:09:44.744Z;71.5;0.61;0;0;86;-2.54;12;2.05;68.0;43.317968;-1.929519;0.007
22;DR;2026-09-03T09:09:45.843Z;72.6;0.61;0;0;83;-2.54;12;2.05;68.0;43.317968;-1.929519;0.007
